Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season
B1,2020-08-08,Club Brugge,Charleroi,0.0,1.0,A,2021
B1,2020-08-08,Antwerp,Mouscron,1.0,1.0,D,2021
B1,2020-08-08,Standard,Cercle Brugge,1.0,0.0,H,2021
B1,2020-08-09,St Truiden,Gent,2.0,1.0,H,2021
B1,2020-08-09,Waregem,Genk,1.0,2.0,A,2021
B1,2020-08-09,Mechelen,Anderlecht,2.0,2.0,D,2021
B1,2020-08-09,Kortrijk,Waasland-Beveren,1.0,3.0,A,2021
B1,2020-08-10,Oud-Heverlee Leuven,Eupen,1.0,1.0,D,2021
B1,2020-08-10,Oostende,Beerschot VA,1.0,2.0,A,2021
B1,2020-08-14,Mouscron,Mechelen,0.0,1.0,A,2021
B1,2020-08-15,Genk,Oud-Heverlee Leuven,1.0,1.0,D,2021
B1,2020-08-15,Charleroi,Oostende,1.0,0.0,H,2021
B1,2020-08-15,Gent,Kortrijk,1.0,2.0,A,2021
B1,2020-08-16,Cercle Brugge,Antwerp,2.0,1.0,H,2021
B1,2020-08-16,Beerschot VA,Waregem,3.0,1.0,H,2021
B1,2020-08-16,Eupen,Club Brugge,0.0,4.0,A,2021
B1,2020-08-16,Anderlecht,St Truiden,3.0,1.0,H,2021
B1,2020-08-17,Waasland-Beveren,Standard,1.0,2.0,A,2021
B1,2020-08-21,Kortrijk,Eupen,0.0,0.0,D,2021
B1,2020-08-22,Waregem,Waasland-Beveren,4.0,1.0,H,2021
B1,2020-08-22,Mechelen,Cercle Brugge,2.0,3.0,A,2021
B1,2020-08-22,Oud-Heverlee Leuven,Charleroi,1.0,3.0,A,2021
B1,2020-08-22,Antwerp,Gent,1.0,0.0,H,2021
B1,2020-08-23,Standard,Genk,0.0,0.0,D,2021
B1,2020-08-23,Club Brugge,Beerschot VA,0.0,1.0,A,2021
B1,2020-08-23,Anderlecht,Mouscron,1.0,1.0,D,2021
B1,2020-08-24,St Truiden,Oostende,0.0,0.0,D,2021
B1,2020-08-28,Oostende,Anderlecht,2.0,2.0,D,2021
B1,2020-08-29,Eupen,St Truiden,1.0,1.0,D,2021
B1,2020-08-29,Cercle Brugge,Kortrijk,0.0,1.0,A,2021
B1,2020-08-29,Waasland-Beveren,Oud-Heverlee Leuven,1.0,3.0,A,2021
B1,2020-08-29,Mouscron,Waregem,0.0,1.0,A,2021
B1,2020-08-30,Genk,Club Brugge,1.0,2.0,A,2021
B1,2020-08-30,Beerschot VA,Standard,0.0,3.0,A,2021
B1,2020-08-30,Charleroi,Antwerp,2.0,0.0,H,2021
B1,2020-08-30,Gent,Mechelen,1.0,0.0,H,2021
B1,2020-09-11,Eupen,Gent,2.0,1.0,H,2021
B1,2020-09-12,Mechelen,Oostende,0.0,1.0,A,2021
B1,2020-09-12,Oud-Heverlee Leuven,Standard,1.0,0.0,H,2021
B1,2020-09-12,Club Brugge,Waasland-Beveren,4.0,1.0,H,2021
B1,2020-09-13,Anderlecht,Cercle Brugge,2.0,0.0,H,2021
B1,2020-09-13,St Truiden,Antwerp,2.0,3.0,A,2021
B1,2020-09-13,Waregem,Charleroi,0.0,2.0,A,2021
B1,2020-09-13,Kortrijk,Mouscron,3.0,0.0,H,2021
B1,2020-09-14,Beerschot VA,Genk,5.0,2.0,H,2021
