division,name,country
B1,Division 1A,Belgium
D1,Bundesliga,Deutschland
D2,2. Bundesliga,Deutschland
E0,Premier League,England
E1,EFL Championship,England
E2,EFL League One,England
E3,EFL League Two,England
EC,National League,England
F1,Ligue 1,France
F2,Ligue 2,France
G1,Superleague,Greece
I1,Seria A,Italy
I2,Seria B,Italy
N1,Eredivisie,Netherlands
P1,Liga NOS,Portugal
SC0,Scottish Premiership,Scotland
SC1,Scottish Championship,Scotland
SC2,Scottish League One,Scotland
SP1,LaLiga,Spain
SP2,LaLiga 2,Spain
T1,Süper Lig,Turkey
